;;;Tiempo;Número;;fila 1;fila 1;fila 1;fila 1;fila 1;fila 1;fila 1;fila 1;fila 1;fila 1;fila 1;fila 1;fila 2;fila 2;fila 2;fila 2;fila 2;fila 2;fila 2;fila 2;fila 2;fila 2;fila 2;fila 2;fila 3;fila 3;fila 3;fila 3;fila 3;fila 3;fila 3;fila 3;fila 3;fila 3;fila 3;fila 3;fila 4;fila 4;fila 4;fila 4;fila 4;fila 4;fila 4;fila 4;fila 4;fila 4;fila 4;fila 4;
;Tiempo;Tiempo;de;de;Velocidad;piso 1;piso 1;piso 2;piso 2;piso 3;piso 3;piso 4;piso 4;piso 5;piso 5;piso 6;piso 6;piso 1;piso 1;piso 2;piso 2;piso 3;piso 3;piso 4;piso 4;piso 5;piso 5;piso 6;piso 6;piso 1;piso 1;piso 2;piso 2;piso 3;piso 3;piso 4;piso 4;piso 5;piso 5;piso 6;piso 6;piso 1;piso 1;piso 2;piso 2;piso 3;piso 3;piso 4;piso 4;piso 5;piso 5;piso 6;piso 6;
Fecha;inicio;fin;función;paradas;cinta;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;izquierda;derecha;
31/7/2022;9:23:26;12:26:23;1:03:55;63;50;6567;6093;0;0;0;0;0;0;0;0;0;0;6370;6394;0;0;0;0;0;0;0;0;0;0;7017;7093;0;0;0;0;0;0;0;0;0;0;7042;7002;0;0;0;0;0;0;0;0;0;0;
1/8/2022;8:33:09;10:14:59;1:03:46;82;50;5721;5410;0;0;0;0;0;0;0;0;0;0;5755;5796;0;0;0;0;0;0;0;0;0;0;6444;6527;0;0;0;0;0;0;0;0;0;0;6473;6362;0;0;0;0;0;0;0;0;0;0;
2/8/2022;8:26:22;10:23:45;1:04:08;106;50;6222;5995;0;0;0;0;2;3;0;0;0;0;6168;6283;0;0;0;0;3;3;0;0;0;0;6774;6892;0;0;0;0;1;4;0;0;0;0;6803;6713;0;0;0;0;1;1;0;0;0;0;
3/8/2022;8:28:54;10:22:26;1:04:04;61;50;6346;6043;0;0;0;0;0;0;0;0;0;0;6339;6427;0;0;0;0;0;0;0;0;0;0;6859;7042;0;0;0;0;0;0;0;0;0;0;6846;6777;0;0;0;0;0;0;0;0;0;0;
4/8/2022;9:05:02;12:01:21;1:04:24;100;50;6668;6418;0;0;0;0;0;0;0;0;0;0;6653;7629;0;0;0;0;0;0;0;0;0;0;7097;7298;0;0;0;0;0;0;0;0;0;0;7178;7004;0;0;0;0;0;0;0;0;0;0;
5/8/2022;8:27:13;10:05:52;1:03:19;60;50;5927;5727;0;0;0;0;0;0;0;0;0;0;6002;6126;0;0;0;0;0;0;0;0;0;0;6494;6556;0;0;0;0;0;0;0;0;0;0;6503;6346;0;0;0;0;0;0;0;0;0;0;
6/8/2022;9:18:38;12:09:53;1:03:54;100;50;6829;6702;0;0;0;0;0;0;0;0;0;0;6903;6984;0;0;0;0;0;0;0;0;0;0;7212;7469;0;0;0;0;0;0;0;0;0;0;7194;7085;0;0;0;0;0;0;0;0;0;0;
7/8/2022;8:54:21;10:39:48;1:03:03;81;50;6277;5994;0;0;0;0;0;0;0;0;0;0;6279;6407;0;0;0;0;0;0;0;0;0;0;6644;6788;0;0;0;0;0;0;0;0;0;0;6672;6476;0;0;0;0;0;0;0;0;0;0;
8/8/2022;8:25:24;10:02:28;1:04:20;72;50;6156;6031;0;0;0;0;0;0;0;0;0;0;6260;6319;0;0;0;0;0;0;0;0;0;0;6574;6683;0;0;0;0;0;0;0;0;0;0;6551;6470;0;0;0;0;0;0;0;0;0;0;
9/8/2022;7:53:57;9:54:34;1:03:24;81;50;6380;6105;0;0;0;0;0;0;0;0;0;0;6353;6440;0;0;0;0;0;0;0;0;0;0;6667;6736;0;0;0;0;0;0;0;0;0;0;6723;6467;0;0;0;0;0;0;0;0;0;0;
10/8/2022;8:25:57;10:03:49;1:06:09;50;50;6656;6465;0;0;0;0;0;0;0;0;0;0;6697;6617;0;0;0;0;0;0;0;0;0;0;6825;6956;0;0;0;0;0;0;0;0;0;0;6904;6676;0;0;0;0;0;0;0;0;0;0;
11/8/2022;7:40:50;9:40:50;1:05:50;40;50;6152;5992;0;0;0;0;0;0;0;0;0;0;6221;6282;0;0;0;0;0;0;0;0;0;0;6401;6503;0;0;0;0;0;0;0;0;0;0;6428;6194;0;0;0;0;0;0;0;0;0;0;
12/8/2022;8:25:35;10:11:29;1:07:51;96;50;7021;6717;0;0;0;0;0;0;0;0;0;0;6853;6756;0;0;0;0;0;0;0;0;0;0;6902;7131;0;0;0;0;0;0;0;0;0;0;7190;6768;0;0;0;0;0;0;0;0;0;0;
13/8/2022;7:47:30;9:48:10;1:05:56;53;50;6270;5955;0;0;0;0;0;0;0;0;0;0;6110;6071;0;0;0;0;0;0;0;0;0;0;6237;6483;0;0;0;0;0;0;0;0;0;0;6369;6201;0;0;0;0;0;0;0;0;0;0;
14/8/2022;7:38:49;9:32:17;1:06:32;43;50;6332;6068;0;0;0;0;0;0;0;0;0;0;6147;6132;0;0;0;0;0;0;0;0;0;0;6304;6588;0;0;0;0;0;0;0;0;0;0;6453;6207;0;0;0;0;0;0;0;0;0;0;
15/8/2022;7:06:03;8:40:18;1:05:22;16;50;5541;5221;0;0;0;0;0;0;0;0;0;0;5334;5311;0;0;0;0;0;0;0;0;0;1;5494;5616;0;0;0;0;0;0;0;0;3;2;5680;5516;0;0;0;0;0;0;0;0;0;1;
16/8/2022;8:27:05;10:28:25;1:18:54;101;50;8080;7783;0;0;0;0;0;0;0;0;0;0;7593;7521;0;0;0;0;0;0;0;0;0;0;7790;8169;0;0;0;0;0;0;0;0;0;0;7947;7726;0;0;0;0;0;0;0;0;0;0;
